Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
CZR,Caesars Entertainment,"'Caesars Entertainment': 'CZR',",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021,1973
D,Dominion Energy,"'Dominion Energy': 'D',",Utilities,Electric Utilities,"Richmond, Virginia",,1983
DAL,Delta Air Lines Inc.,"'Delta Air Lines Inc.': 'DAL',",Industrials,Airlines,"Atlanta, Georgia",9/11/2013,1929
DD,DuPont de Nemours Inc,"'DuPont de Nemours Inc': 'DD',",Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019,2017
DE,Deere & Co.,"'Deere & Co.': 'DE',",Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,1837
DFS,Discover Financial Services,"'Discover Financial Services': 'DFS',",Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1985
DG,Dollar General,"'Dollar General': 'DG',",Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,1939
DGX,Quest Diagnostics,"'Quest Diagnostics': 'DGX',",Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1967
DHI,D. R. Horton,"'D. R. Horton': 'DHI',",Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005,1978
DHR,Danaher Corp.,"'Danaher Corp.': 'DHR',",Health Care,Health Care Equipment,"Washington, D.C.",,1969
DIS,The Walt Disney Company,"'The Walt Disney Company': 'DIS',",Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1923
DISCA,"Discovery, Inc. (Series A)","'Discovery, Inc. (Series A)': 'DISCA',",Communication Services,Broadcasting,"New York, New York",3/1/2010,1985
DISCK,"Discovery, Inc. (Series C)","'Discovery, Inc. (Series C)': 'DISCK',",Communication Services,Broadcasting,"New York, New York",8/7/2014,1985
DISH,Dish Network,"'Dish Network': 'DISH',",Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1980
DLR,Digital Realty Trust Inc,"'Digital Realty Trust Inc': 'DLR',",Real Estate,Specialized REITs,"Austin, Texas",5/18/2016,2004
DLTR,Dollar Tree,"'Dollar Tree': 'DLTR',",Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,1986
DOV,Dover Corporation,"'Dover Corporation': 'DOV',",Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,1955
DOW,Dow Inc.,"'Dow Inc.': 'DOW',",Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,2019
DPZ,Domino's Pizza,"Dominos Pizza': 'DPZ',",Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1960
DRE,Duke Realty Corp,"'Duke Realty Corp': 'DRE',",Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,1972
DRI,Darden Restaurants,"'Darden Restaurants': 'DRI',",Consumer Discretionary,Restaurants,"Orlando, Florida",,1938
DTE,DTE Energy Co.,"'DTE Energy Co.': 'DTE',",Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,1995
DUK,Duke Energy,"'Duke Energy': 'DUK',",Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1904
DVA,DaVita Inc.,"'DaVita Inc.': 'DVA',",Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,1979
DVN,Devon Energy,"'Devon Energy': 'DVN',",Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1971
DXC,DXC Technology,"'DXC Technology': 'DXC',",Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,2017
DXCM,DexCom,"'DexCom': 'DXCM',",Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1999
EA,Electronic Arts,"'Electronic Arts': 'EA',",Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,1982
EBAY,eBay Inc.,"'eBay Inc.': 'EBAY',",Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/2002,1995
ECL,Ecolab Inc.,"'Ecolab Inc.': 'ECL',",Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,1923
ED,Consolidated Edison,"'Consolidated Edison': 'ED',",Utilities,Electric Utilities,"New York, New York",,1823
EFX,Equifax Inc.,"'Equifax Inc.': 'EFX',",Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,1899
EIX,Edison Int'l,"'Edison Int'l': 'EIX',",Utilities,Electric Utilities,"Rosemead, California",3/4/1957,1886
EL,Estée Lauder Companies,"'Estée Lauder Companies': 'EL',",Consumer Staples,Personal Products,"New York, New York",1/5/2006,1946
EMN,Eastman Chemical,"'Eastman Chemical': 'EMN',",Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1920
EMR,Emerson Electric Company,"'Emerson Electric Company': 'EMR',",Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,1890
ENPH,Enphase Energy,"'Enphase Energy': 'ENPH',",Information Technology,Electronic Components,"Fremont, California",1/7/2021,2006
EQIX,Equinix,"'Equinix': 'EQIX',",Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1998
EQR,Equity Residential,"'Equity Residential': 'EQR',",Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,1969
ES,Eversource Energy,"'Eversource Energy': 'ES',",Utilities,Multi-Utilities,"Hartford, Connecticut",,1966
ESS,"Essex Property Trust, Inc.","'Essex Property Trust, Inc.': 'ESS',",Real Estate,Residential REITs,"San Mateo, California",4/2/2014,1971
ETN,Eaton Corporation,"'Eaton Corporation': 'ETN',",Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1911
ETR,Entergy Corp.,"'Entergy Corp.': 'ETR',",Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,1913
ETSY,Etsy,"'Etsy': 'ETSY',",Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",9/21/2020,2005
EVRG,Evergy,"'Evergy': 'EVRG',",Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909
EW,Edwards Lifesciences,"'Edwards Lifesciences': 'EW',",Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1958
EXC,Exelon Corp.,"'Exelon Corp.': 'EXC',",Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,2000
EXPD,Expeditors,"'Expeditors': 'EXPD',",Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,1979
EXPE,Expedia Group,"'Expedia Group': 'EXPE',",Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/2007,1996
EXR,Extra Space Storage,"'Extra Space Storage': 'EXR',",Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1977
F,Ford Motor Company,"'Ford Motor Company': 'F',",Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,1903
FANG,Diamondback Energy,"'Diamondback Energy': 'FANG',",Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,2007
FAST,Fastenal Co,"'Fastenal Co': 'FAST',",Industrials,Building Products,"Winona, Minnesota",9/15/2008,1967
FB,"Facebook, Inc.","'Facebook, Inc.': 'FB',",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,2004
FBHS,Fortune Brands Home & Security,"'Fortune Brands Home & Security': 'FBHS',",Industrials,Building Products,"Deerfield, Illinois",6/22/2016,2011 (1969)
FCX,Freeport-McMoRan Inc.,"'Freeport-McMoRan Inc.': 'FCX',",Materials,Copper,"Phoenix, Arizona",,1912
FDX,FedEx Corporation,"'FedEx Corporation': 'FDX',",Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1971
FE,FirstEnergy Corp,"'FirstEnergy Corp': 'FE',",Utilities,Electric Utilities,"Akron, Ohio",,1997
FFIV,F5 Networks,"'F5 Networks': 'FFIV',",Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1996
FIS,Fidelity National Information Services,"'Fidelity National Information Services': 'FIS',",Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1968
FISV,Fiserv Inc,"'Fiserv Inc': 'FISV',",Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,1984
FITB,Fifth Third Bancorp,"'Fifth Third Bancorp': 'FITB',",Financials,Regional Banks,"Cincinnati, Ohio",,1858
FLT,FleetCor Technologies Inc,"'FleetCor Technologies Inc': 'FLT',",Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/2018,2000
FMC,FMC Corporation,"'FMC Corporation': 'FMC',",Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,1883
FOX,Fox Corporation (Class B),"'Fox Corporation (Class B)': 'FOX',",Communication Services,Movies & Entertainment,"New York, New York",9/18/2015,2019
FOXA,Fox Corporation (Class A),"'Fox Corporation (Class A)': 'FOXA',",Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,2019
FRC,First Republic Bank,"'First Republic Bank': 'FRC',",Financials,Regional Banks,"San Francisco, California",1/2/2019,1985
FRT,Federal Realty Investment Trust,"'Federal Realty Investment Trust': 'FRT',",Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,1962
FTNT,Fortinet,"'Fortinet': 'FTNT',",Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,2000
FTV,Fortive Corp,"'Fortive Corp': 'FTV',",Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,2016
GD,General Dynamics,"'General Dynamics': 'GD',",Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,1899
